property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,ss the leaf,sector 85,1.2,12371.0,970.0105084471747,Super Built up area 1671(155.24 sq.m.)Built Up area: 1190 sq.ft. (110.55 sq.m.)Carpet area: 970 sq.ft. (90.12 sq.m.),2.0,2.0,2,4.0,East,Relatively New,1671.0,1190.0,970.0,0.0,1.0,1.0,0.0,0.0,1,81,485.0052542235874
flat,tulip purple,sector 69,1.8,9000.0,2000.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4.0,5.0,3+,4.0,North-East,Relatively New,2400.0,2200.0,2000.0,0.0,1.0,0.0,0.0,0.0,1,165,500.0
flat,umang monsoon breeze,sector 78,1.15,5284.0,2176.3815291445876,Super Built up area 2176(202.16 sq.m.),3.0,3.0,3,9.0,,Moderately Old,2176.0,,,0.0,1.0,0.0,0.0,1.0,1,22,725.4605097148625
house,independent,sector 7,2.25,16892.0,1332.0,Built Up area: 148 (123.75 sq.m.),5.0,3.0,0,2.0,,Undefined,,148.0,,0.0,0.0,0.0,0.0,0.0,1,0,266.4
flat,tulip violet,sector 69,1.75,9459.0,1850.089861507559,Carpet area: 1850 (171.87 sq.m.),3.0,4.0,2,0.0,East,Relatively New,,,1850.0,0.0,0.0,0.0,0.0,0.0,0,174,616.6966205025196
flat,shri ram apartments,sector 4,0.46,5111.0,900.0195656427313,Carpet area: 900 (83.61 sq.m.),2.0,2.0,1,1.0,East,Relatively New,,,900.0,0.0,0.0,0.0,0.0,0.0,0,69,450.00978282136566
flat,bestech park view residency,sector 2,1.02,7208.0,1415.0943396226414,Super Built up area 1415(131.46 sq.m.),2.0,2.0,3,11.0,South-West,Moderately Old,1415.0,,,0.0,0.0,0.0,0.0,0.0,1,92,707.5471698113207
flat,pyramid elite,sector 86,0.45,7739.0,581.4704742214757,Carpet area: 581.41 (54.01 sq.m.),2.0,2.0,1,4.0,,Under Construction,,,581.3582389999999,0.0,0.0,0.0,0.0,0.0,1,66,290.73523711073784
flat,laxmi apartment sector 99a gurgaon,sector 99a,0.3,4615.0,650.0541711809317,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2.0,2.0,1,4.0,,New Property,650.0,,550.0,0.0,0.0,0.0,0.0,0.0,1,44,325.02708559046584
flat,vatika city,sector 49,1.72,7818.0,2200.0511639805577,Carpet area: 2200 (204.39 sq.m.),3.0,3.0,2,2.0,North-East,Old Property,,,2200.0,0.0,0.0,0.0,0.0,0.0,0,144,733.3503879935192
