property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,ss the leaf,sector 85,1.2,12371.0,2.0,2.0,2,4.0,Relatively New,1190.0,0.0,1.0,1.0,0.0,0.0,1,81
flat,tulip purple,sector 69,1.8,9000.0,4.0,5.0,3+,4.0,Relatively New,2200.0,0.0,1.0,0.0,0.0,0.0,1,165
flat,umang monsoon breeze,sector 78,1.15,5284.0,3.0,3.0,3,9.0,Moderately Old,1969.0,0.0,1.0,0.0,0.0,1.0,1,22
house,independent,sector 7,2.25,16892.0,5.0,3.0,0,2.0,Old Property,148.0,0.0,0.0,0.0,0.0,0.0,1,0
flat,tulip violet,sector 69,1.75,9459.0,3.0,4.0,2,0.0,Relatively New,2056.0,0.0,0.0,0.0,0.0,0.0,0,174
flat,shri ram apartments,sector 4,0.46,5111.0,2.0,2.0,1,1.0,Relatively New,1000.0,0.0,0.0,0.0,0.0,0.0,0,69
flat,bestech park view residency,sector 2,1.02,7208.0,2.0,2.0,3,11.0,Moderately Old,1281.0,0.0,0.0,0.0,0.0,0.0,1,92
flat,pyramid elite,sector 86,0.45,7739.0,2.0,2.0,1,4.0,Under Construction,646.0,0.0,0.0,0.0,0.0,0.0,1,66
flat,laxmi apartment sector 99a gurgaon,sector 99a,0.3,4615.0,2.0,2.0,1,4.0,New Property,600.0,0.0,0.0,0.0,0.0,0.0,1,44
flat,vatika city,sector 49,1.72,7818.0,3.0,3.0,2,2.0,Old Property,2444.0,0.0,0.0,0.0,0.0,0.0,0,144
flat,ats tourmaline,sector 109,1.75,8139.0,3.0,4.0,3+,2.0,Relatively New,1946.0,0.0,1.0,0.0,0.0,1.0,1,65
flat,ss the leaf,sector 85,1.2,7317.0,2.0,2.0,3+,14.0,Relatively New,1380.0,0.0,0.0,1.0,0.0,0.0,1,141
flat,suncity platinum towers,sector 28,7.0,22222.0,4.0,3.0,2,10.0,Moderately Old,2488.0,0.0,1.0,0.0,0.0,0.0,1,31
